"METRO_ID","Metropolitan areas","VAR","Variables","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"DE033","Augsburg","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,29326,,
"USA94","Washoe","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA90","Volusia-Daytona Beach","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA38","Davidson","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"BE002","Antwerp","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2015","2015","RATIO","Ratio","0","Units",,,0.1,,
"USA30","Austin","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA91","Guilford","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,35918,,
"AUS04","Greater Perth","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,46324,,
"SE002","Gothenburg","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"JPN05","Sapporo","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,21362,,
"FR205","Nice","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29200,,
"USA15","Minneapolis","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,49597,,
"USA26","Cuyahoga","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA86","Stanislaus","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,30900,,
"USA18","Denver","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"UK539","Bournemouth","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,27028,,
"USA37","Memphis","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA13","Detroit (Greater)","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA41","Pittsburgh","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,45463,,
"UK009","Cardiff","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,23319,,
"USA83","Hamilton (TN)","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA87","Greene","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"DE507","Aachen","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,24917,,
"USA34","Salt Lake","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,43792,,
"USA67","San Joaquin","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,32227,,
"MEX37","Poza Rica de Hidalgo","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,4504,,
"MEX19","Veracruz","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,6209,,
"IT008","Bari","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"NO001","Oslo","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"FR003","Lyon","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29823,,
"FR008","Nantes","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2015","2015","RATIO","Ratio","0","Units",,,0,,
"USA09","Miami (Greater)","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"IT001","Rome","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"USA60","East Baton Rouge","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,38139,,
"MEX16","Culiacan","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,7115,,
"MEX01","Mexico City","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,6676,,
"CAN15","Saskatoon","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,33720,,
"DE084","Mannheim-Ludwigshafen","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,28617,,
"USA49","Tampa-Hillsborough","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA68","Kent","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA72","Ada","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,36843,,
"CAN07","Quebec","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,32758,,
"JPN29","Nagano","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,20724,,
"USA22","Las Vegas","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,32888,,
"USA45","Fresno (Greater)","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"USA53","Providence","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,40541,,
"FR004","Toulouse","GINI","Gini (at disposable income, after taxes and transfers)","2015","2015","RATIO","Ratio","0","Units",,,0.3,,
"FR009","Lille","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,27057,,
"USA64","Lehigh","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"SE001","Stockholm","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"IT011","Venice","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,28133,,
"USA57","Kern","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"PT001","Lisbon","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,16849,,
"FR013","Rennes","GINI","Gini (at disposable income, after taxes and transfers)","2015","2015","RATIO","Ratio","0","Units",,,0.2,,
"IT004","Turin","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29477,,
"USA47","Wake","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"USA03","Chicago ","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,44515,,
"CAN01","Toronto","GINI","Gini (at disposable income, after taxes and transfers)","2015","2015","RATIO","Ratio","0","Units",,,0.4,,
"BE003","Gent","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29363,,
"USA43","Virginia Beach","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,37958,,
"USA40","Hartford","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"UK560","Oxford","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,34463,,
"USA89","Spokane","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA01","New York (Greater)","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,46187,,
"USA76","Polk","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"JPN11","Kumamoto","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,20567,,
"USA78","Lucas","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA51","Tulsa","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA82","Summit","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA55","Douglas (NE)","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,44333,,
"HU001","Budapest","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,14151,,
"USA28","Charlotte","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"USA07","Dallas","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"MEX23","Tampico","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,5899,,
"USA48","Jefferson (AL)","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,40755,,
"USA79","Pulaski","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,38814,,
"USA19","San Antonio","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA24","Jackson (MO)","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,44466,,
"MEX11","San Luis Potosi","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,6029,,
"MEX08","Queretaro","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,6057,,
"USA66","Montgomery (OH)","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"USA70","Onondaga","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"IT009","Bologna","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,35186,,
"JPN32","Fukui","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,20288,,
"AT003","Linz","GINI","Gini (at disposable income, after taxes and transfers)","2015","2015","RATIO","Ratio","0","Units",,,0.3,,
"USA44","Erie (NY)","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"FR026","Grenoble","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2015","2015","RATIO","Ratio","0","Units",,,0.1,,
"CL011","Santiago","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,20695,,
"USA04","Washington (Greater)","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA08","Houston","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,48665,,
"USA56","Rochester (NY)","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"USA29","Sacramento","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,39278,,
"AT002","Graz","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,30441,,
"JPN16","Utsunomiya","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,22912,,
"USA14","Seattle","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"DE005","Frankfurt am Main","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,31820,,
"USA75","Sedgwick","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"FR010","Montpellier","GINI","Gini (at disposable income, after taxes and transfers)","2015","2015","RATIO","Ratio","0","Units",,,0.3,,
"USA36","Jefferson (KY)","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,38103,,
"USA59","El Paso (TX)","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"IT006","Genoa","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"JPN08","Hiroshima","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,23192,,
"MEX17","Morelia","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,5195,,
"CAN10","London","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,30121,,
"CAN16","Sherbrooke","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,28196,,
"USA32","Milwaukee","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA93","Forsyth","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,34837,,
"USA33","Jacksonville","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.2,,
"FI001","Helsinki","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29421,,
"JPN02","Higashiosaka","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,24151,,
"AUS02","Greater Melbourne","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,38054,,
"USA39","Oklahoma","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA57","Kern","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29243,,
"USA05","San Francisco (Greater)","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,58881,,
"USA06","Philadelphia (Greater)","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"NL004","Utrecht","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,29739,,
"IT002","Milan","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,32218,,
"JPN23","Toyohashi","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,22707,,
"USA16","San Diego","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.4,,
"USA74","Lee","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,39528,,
"IT005","Palermo","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"FR006","Strasbourg","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2015","2015","RATIO","Ratio","0","Units",,,0.1,,
"UK002","West Midlands urban area","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,24508,,
"FR032","Toulon","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,27964,,
"MEX31","Tuxtla Gutierrez","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,6697,,
"MEX09","Merida","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,6203,,
"IT005","Palermo","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2016","2016","RATIO","Ratio","0","Units",,,0.1,,
"IT009","Bologna","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
"AT003","Linz","PVT6A","Poverty rate after taxes and transfers, Poverty line 60%","2015","2015","RATIO","Ratio","0","Units",,,0.1,,
"DE014","Nuremberg","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,30642,,
"FR026","Grenoble","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,30127,,
"DE517","Osnabruck","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2013","2013","USD","US Dollar","0","Units",,,26851,,
"CAN03","Vancouver","GINI","Gini (at disposable income, after taxes and transfers)","2015","2015","RATIO","Ratio","0","Units",,,0.4,,
"USA88","Fayette","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2016","2016","USD","US Dollar","0","Units",,,39042,,
"MEX30","Durango","INCOME_DISP_HH_REAL_PPP","Disposable Income per equivalised household (in USD constant prices, constant PPP, base year 2010)","2015","2015","USD","US Dollar","0","Units",,,5333,,
"USA63","Richland","GINI","Gini (at disposable income, after taxes and transfers)","2016","2016","RATIO","Ratio","0","Units",,,0.3,,
